Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-05-05,33854.17188,33854.17188,32685.09961,32997.96875,32997.96875,448420000,2167
2022-05-06,32773.87891,33055.83984,32474.68945,32899.37109,32899.37109,416520000,2168
2022-05-09,32685.16992,32685.16992,32121.98047,32245.69922,32245.69922,470770000,2169
2022-05-10,32504.08984,32752.16992,31887.89063,32160.74023,32160.74023,439290000,2170
2022-05-11,32123.24023,32584.01953,31798.85938,31834.10938,31834.10938,458460000,2171
2022-05-12,31699.03906,31914.46094,31228.2207,31730.30078,31730.30078,544240000,2172
2022-05-13,31963.85938,32276.05078,31862.78906,32196.66016,32196.66016,388520000,2173
2022-05-16,32152.15039,32514.01953,31928.17969,32223.41992,32223.41992,330030000,2174
2022-05-17,32427,32689.14063,32308.15039,32654.58984,32654.58984,389310000,2175
2022-05-18,32468.66992,32468.66992,31393.94922,31490.07031,31490.07031,465060000,2176
2022-05-19,31262.61914,31569.13086,31016.41016,31253.13086,31253.13086,517190000,2177
2022-05-20,31426.93945,31515.7793,30635.75977,31261.90039,31261.90039,495510000,2178
2022-05-23,31395.89063,31968.41992,31395.89063,31880.24023,31880.24023,402010000,2179
2022-05-24,31717.60938,32014.85938,31365.58984,31928.61914,31928.61914,382950000,2180
2022-05-25,31816.31055,32254.43945,31754.33008,32120.2793,32120.2793,343460000,2181
2022-05-26,32248.16992,32774.14063,32248.16992,32637.18945,32637.18945,351220000,2182
2022-05-27,32735.08984,33213.62109,32682.00977,33212.96094,33212.96094,328770000,2183
2022-05-31,33160.58984,33240.21875,32752.33984,32990.12109,32990.12109,533560000,2184
2022-06-01,33156.30859,33272.33984,32584.75977,32813.23047,32813.23047,338210000,2185
2022-06-02,32809.01172,33248.60938,32509.42969,33248.28125,33248.28125,333210000,2186
2022-06-03,32986.32031,33135.60938,32839.21094,32899.69922,32899.69922,298570000,2187
2022-06-06,33032.03906,33235.37109,32819.5,32915.78125,32915.78125,253010000,2188
2022-06-07,32783.03125,33207.44922,32641.84961,33180.14063,33180.14063,270750000,2189
2022-06-08,33087.07031,33156.5,32824.37109,32910.89844,32910.89844,270470000,2190
2022-06-09,32828.62109,32956.73047,32267.7793,32272.78906,32272.78906,289710000,2191
2022-06-10,32053.51953,32053.51953,31387.83984,31392.78906,31392.78906,362300000,2192
2022-06-13,31144.91016,31144.91016,30373.7207,30516.74023,30516.74023,472290000,2193
2022-06-14,30592.33984,30690.80078,30144.23047,30364.83008,30364.83008,366800000,2194
2022-06-15,30570.5,31011.9707,30185.08008,30668.5293,30668.5293,392670000,2195
2022-06-16,30305.74023,30305.74023,29740.34961,29927.07031,29927.07031,442910000,2196
2022-06-17,29912.69922,30167.51953,29653.28906,29888.7793,29888.7793,692830000,2197
2022-06-21,30074.68945,30653.98047,30074.68945,30530.25,30530.25,376900000,2198
2022-06-22,30352.57031,30777.91992,30166.00977,30483.13086,30483.13086,343490000,2199
2022-06-23,30570.33008,30715.63086,30293.40039,30677.35938,30677.35938,361420000,2200
2022-06-24,30846.93945,31517.28906,30846.93945,31500.67969,31500.67969,465480000,2201
2022-06-27,31533.59961,31598.58984,31351.36914,31438.25977,31438.25977,309910000,2202
2022-06-28,31549.05078,31885.08984,30934.33008,30946.99023,30946.99023,350780000,2203
2022-06-29,31067.41016,31152.96094,30894.5293,31029.31055,31029.31055,269390000,2204
2022-06-30,30790,30979.84961,30431.86914,30775.42969,30775.42969,394070000,2205
2022-07-01,30737.76953,31139.34961,30487.78906,31097.25977,31097.25977,310440000,2206
2022-07-05,30903.11914,30971.74023,30355.11914,30967.82031,30967.82031,323080000,2207
2022-07-06,30957.30078,31224.68945,30794.83984,31037.67969,31037.67969,289800000,2208
2022-07-07,31190.65039,31421.83984,31154.64063,31384.55078,31384.55078,296620000,2209
2022-07-08,31348.42969,31511.46094,31212.44922,31338.15039,31338.15039,238120000,2210
2022-07-11,31277.98047,31367.55078,31114.40039,31173.83984,31173.83984,245020000,2211
2022-07-12,31113.31055,31346.09961,30860.50977,30981.33008,30981.33008,324190000,2212
2022-07-13,30743.63086,30979.16992,30514.60938,30772.78906,30772.78906,291830000,2213
2022-07-14,30451.80078,30680.11914,30143.92969,30630.16992,30630.16992,325130000,2214
2022-07-15,30775.36914,31288.25977,30775.36914,31288.25977,31288.25977,321570000,2215
2022-07-18,31475.98047,31644.67969,30982.9707,31072.60938,31072.60938,309960000,2216
2022-07-19,31165.91016,31842.25,31165.91016,31827.05078,31827.05078,378720000,2217
2022-07-20,31829.99023,31944.44922,31646.94922,31874.83984,31874.83984,313520000,2218
2022-07-21,31826.49023,32040.63086,31534.08008,32036.90039,32036.90039,302320000,2219
2022-07-22,32167.91992,32219.25,31731.4707,31899.28906,31899.28906,319880000,2220
2022-07-25,31950.92969,32029.0293,31821.66992,31990.03906,31990.03906,255450000,2221
2022-07-26,31950.03906,31950.03906,31705.35938,31761.53906,31761.53906,324930000,2222
2022-07-27,31865.05078,32336.23047,31799.42969,32197.58984,32197.58984,365480000,2223
2022-07-28,32197.61914,32609.53906,31982.60938,32529.63086,32529.63086,331110000,2224
2022-07-29,32515.61914,32910.17969,32493.01953,32845.12891,32845.12891,487360000,2225
2022-08-01,32755.71094,32972.03125,32640.78906,32798.39844,32798.39844,321180000,2226
2022-08-02,32691.28906,32772.92969,32387.11914,32396.16992,32396.16992,316740000,2227
2022-08-03,32514.21094,32912.73828,32514.21094,32812.5,32812.5,342160000,2228
2022-08-04,32805.69141,32829.21875,32652.63086,32726.82031,32726.82031,315590000,2229
2022-08-05,32593.90039,32814.60938,32489.61914,32803.46875,32803.46875,273010000,2230
2022-08-08,32877.35938,33109.96094,32769.10156,32832.53906,32832.53906,275350000,2231
2022-08-09,32807.35938,32877.53125,32702.66016,32774.41016,32774.41016,281080000,2232
2022-08-10,33130.62891,33364.41016,33130.62891,33309.51172,33309.51172,311740000,2233
2022-08-11,33451.51172,33651.80078,33289.82813,33336.67188,33336.67188,308030000,2234
2022-08-12,33430.71875,33767.08984,33398.32031,33761.05078,33761.05078,299140000,2235
2022-08-15,33710.69922,33954.71094,33582.96094,33912.44141,33912.44141,262670000,2236
2022-08-16,33924.35156,34281.35938,33852.57031,34152.01172,34152.01172,288670000,2237
2022-08-17,34029.55078,34161.01172,33828.41016,33980.32031,33980.32031,281390000,2238
2022-08-18,33981.85938,34043.82813,33844.46094,33999.03906,33999.03906,282550000,2239
2022-08-19,33904.69141,33904.69141,33627.08984,33706.73828,33706.73828,293990000,2240
2022-08-22,33586.58984,33586.58984,33007.62891,33063.60938,33063.60938,308900000,2241
2022-08-23,33033.51953,33138.26172,32858.89063,32909.58984,32909.58984,251870000,2242
